No;Name;Chapter;Episode;Year;Note
106;Boa Sandersonia;0516;0409;2008;
107;Bobbin;0651;0571;2012;
108;Bobby Funk;0704;0632;2013;
109;Bobomba;0711;0641;2013;His name was revealed in SBS Volume 73.
110;Bogard;0092;0068;1999;His name was revealed in Episode 68 credits.
111;Bomba;0652;0589;2012;His name was revealed in Episode 622 credits.
112;Bomba;0711;0641;2013;His name was revealed in SBS Volume 73.
113;Bongo;0928;0921;2018;His name was revealed in Chapter 940.
114;Bonk Punch;0001;0004;1997;His name was revealed in SBS Volume 101.
115;Boo;0704;0632;2013;
116;Boodle;0012;0006;1997;
117;Boogie;1038;1065;2022;His name was revealed in SBS Volume 102.
118;Borsalino;0504;0398;2008;He was first mentioned by Nico Robin in Chapter 319. His real name was revealed in Chapter 507. More commonly known by his alias Kizaru.
119;Bourbon Jr.;0180;0111;2001;His name was revealed in the Blue databook.
120;Braham;0249;0163;2002;His name was revealed by Wyper in Chapter 251.
121;Brahm;0196;0120;2001;His name was revealed in the Blue databook.
122;Brannew;0096;0045;1999;
123;Brew;0561;0470;2009;His name was revealed in the Green databook.
124;Briscola;0993;0982;2020;
125;Brocca;0561;0470;2009;Her name was revealed in the Green databook.
126;Brogy;0115;0071;2000;
127;Brontosaurus;0115;;1999;
128;Brook;0442;0337;2007;
129;Bubblegum;1029;1054;2021;His name was revealed in SBS Volume 102.
130;Buche;0880;0852;2017;
131;Buchi;0031;0013;1999;
132;Buckingham Stussy;0802;0752;2015;She was first introduced as Miss Buckin. Her full name was revealed in Chapter 1072.
133;Buffalo;0692;0618;2012;He was first mentioned by Donquixote Doflamingo in Chapter 682.
134;Buggy;0009;0004;1997;He was first mentioned by the Tightrope Walking Funan Bros in Chapter 8.
135;Buhichuck;0446;0340;2007;
136;Building Snake;0041;0004;1998;His name was revealed in SBS Volume 101.
137;Bulldog;1099;;2023;
138;Bunbuku;0911;0894;2018;His name was revealed in SBS Volume 93.
139;Bungo;0928;0921;2018;His name was revealed in Chapter 940.
140;Bunny Joe;0546;0455;2009;His name was revealed in the Blue Deep databook.
141;Bushon;0361;0251;2005;His name was revealed in the Blue Deep databook.
142;Busshiri;0391;0275;2005;His name revealed in Color Walk 4.
143;Byron;0501;0395;2008;
144;Cabaji;0009;0007;1997;His name was revealed in Chapter 15.
145;Caesar Clown;0658;0581;2012;His name was revealed in Chapter 663.
146;Caimanlady;1004;1020;2021;Her name was revealed in Chapter 1005.
147;Camie;0195;0385;2001;She was formally introduced in Chapter 490.
148;Camel;0695;0621;2013;Its name was revealed in SBS Volume 70.
149;Cancer;0096;0045;1999;His name was revealed in the Blue Deep databook.
150;Candre;0557;0466;2009;His name was revealed in SBS Volume 70.
151;Cands;0569;;2010;His name was revealed in the Green databook.
152;Candy;0510;;2010;His name was revealed in Vivre Card.
153;Capone Bege;0498;0392;2008;
154;Capone Pez;0834;0795;2016;
155;Capote;0306;0209;2004;
156;Caribou;0600;0519;2010;He was first mentioned by Demaro Black in Chapter 598.
157;Carmel;0866;0836;2017;Her name was first mentioned by Capone Bege in Chapter 859. She was first seen via a photograph in Chapter 861.
158;Carne;0045;0021;1998;His name was revealed in Chapter 53.
159;Carrot;0804;0753;2015;
160;Catacombo;0602;0522;2010;His name was revealed in the Blue Deep databook.
161;Catarina Devon;0575;0484;2010;She was first mentioned by Emporio Ivankov in Chapter 538.
162;Cavendish;0704;0632;2013;
163;CB Gallant;0966;0959;2020;His name was revealed in SBS Volume 96.
164;Cerberus;0444;0339;2007;
165;Cezar;0823;0777;2016;His name was revealed in Vivre Card.
166;Chabo;0069;0031;1999;His name was revealed in Chapter 70.
167;Chadros Higelyges;0581;0490;2010;His real name was revealed in Vivre Card.
168;Chaka;0155;0091;2000;His name was revealed in Chapter 167.
169;Chao;0738;0671;2014;His name was revealed by another dwarf in Chapter 755.
170;Chap;0823;0777;2016;His name was revealed in Vivre Card.
171;Chappe;0668;0593;2012;
172;Charlos;0499;0393;2008;
173;Charlotte Akimeg;0894;0869;2018;Her name was revealed in One Piece Magazine Vol.4.
174;Charlotte Allmeg;0894;0869;2018;Her name was revealed in One Piece Magazine Vol.4.
175;Charlotte Amande;0827;0786;2016;Her name was revealed in Chapter 845.
176;Charlotte Anana;0845;0809;2016;
177;Charlotte Angel;0860;0830;2017;Her name was revealed in One Piece Magazine Vol.4.
178;Charlotte Anglais;0845;0809;2016;His name was revealed in Chapter 848.
